ensg,symbol,HVG_rank,HVG_normrank,HVG_normscore,DE_Immune_rank,DE_Immune_normrank,DE_Immune_normscore,DE_Malignant_rank,DE_Malignant_normrank,DE_Malignant_normscore,SpaPROS_rank,SpaPROS_normrank,SpaPROS_normscore,scGeneFit_rank,scGeneFit_normrank,scGeneFit_normscore,RF_celltype_rank,RF_celltype_normrank,RF_celltype_normscore,RF_malignant_rank,RF_malignant_normrank,RF_malignant_normscore,n_methods,mean_normrank,mean_normscore,aggregate_score
ENSG00000272333,ENSG00000272333,,,,,,,6823.0,0.41245370769098266,0.06921628356122343,,,,,,,,,,,,,1,0.41245370769098266,0.06921628356122343,2.4816699912522058
ENSG00000007047,ENSG00000007047,,,,,,,6827.0,0.41210920678666785,0.06919763284076741,,,,,,,,,,,,,1,0.41210920678666785,0.06919763284076741,2.481306839627435
ENSG00000141428,ENSG00000141428,,,,,,,6829.0,0.41193695633451033,0.06918199234840637,,,,,,,,,,,,,1,0.41193695633451033,0.06918199234840637,2.4811189486829166
ENSG00000182944,ENSG00000182944,,,,,,,6830.0,0.4118508311084317,0.0691401030297351,,,,,,,,,,,,,1,0.4118508311084317,0.0691401030297351,2.4809909341381666
ENSG00000073614,ENSG00000073614,,,,,,,6831.0,0.4117647058823529,0.06913101341026151,,,,,,,,,,,,,1,0.4117647058823529,0.06913101341026151,2.480895719292614
ENSG00000104687,ENSG00000104687,,,,,,,6833.0,0.4115924554301955,0.06912623965998436,,,,,,,,,,,,,1,0.4115924554301955,0.06912623965998436,2.48071869509018
ENSG00000074054,ENSG00000074054,,,,,,,6834.0,0.41150633020411675,0.06911688256542402,,,,,,,,,,,,,1,0.41150633020411675,0.06911688256542402,2.4806232127695407
ENSG00000137460,ENSG00000137460,,,,,,,6835.0,0.4114202049780381,0.06910271998625421,,,,,,,,,,,,,1,0.4114202049780381,0.06910271998625421,2.4805229249642924
ENSG00000012124,ENSG00000012124,,,,2854.0,0.3744792808594607,0.10598757656622984,,,,,,,,,,,,,,,,1,0.3744792808594607,0.10598757656622984,2.4804668574256903
ENSG00000136891,ENSG00000136891,,,,,,,6837.0,0.4112479545258806,0.06908753284149784,,,,,,,,,,,,,1,0.4112479545258806,0.06908753284149784,2.480335487367378
ENSG00000149474,ENSG00000149474,,,,,,,6838.0,0.41116182929980194,0.06906540041143797,,,,,,,,,,,,,1,0.41116182929980194,0.06906540041143797,2.48022722971124
ENSG00000145388,ENSG00000145388,,,,,,,6839.0,0.4110757040737232,0.06906024131569685,,,,,,,,,,,,,1,0.4110757040737232,0.06906024131569685,2.48013594538942
ENSG00000102763,ENSG00000102763,,,,,,,6840.0,0.4109895788476444,0.06903803635002023,,,,,,,,,,,,,1,0.4109895788476444,0.06903803635002023,2.4800276151976646
ENSG00000115942,ENSG00000115942,,,,,,,6841.0,0.4109034536215658,0.06903124520290232,,,,,,,,,,,,,1,0.4109034536215658,0.06903124520290232,2.479934698824468
ENSG00000086015,ENSG00000086015,,,,,,,6842.0,0.410817328395487,0.06902876992498083,,,,,,,,,,,,,1,0.410817328395487,0.06902876992498083,2.479846098320468
ENSG00000151746,ENSG00000151746,,,,,,,6845.0,0.41055895271725085,0.06901009200366853,,,,,,,,,,,,,1,0.41055895271725085,0.06901009200366853,2.4795690447209195
ENSG00000124789,ENSG00000124789,,,,,,,6848.0,0.4103005770390147,0.06895625244213821,,,,,,,,,,,,,1,0.4103005770390147,0.06895625244213821,2.479256829481153
ENSG00000100324,ENSG00000100324,,,,,,,6849.0,0.41021445181293603,0.06895117494896592,,,,,,,,,,,,,1,0.41021445181293603,0.06895117494896592,2.479165626761902
ENSG00000116151,ENSG00000116151,,,,,,,6850.0,0.4101283265868573,0.06894359497701588,,,,,,,,,,,,,1,0.4101283265868573,0.06894359497701588,2.4790719215638735
ENSG00000197958,ENSG00000197958,,,,,,,6852.0,0.40995607613469986,0.06892497145741613,,,,,,,,,,,,,1,0.40995607613469986,0.06892497145741613,2.478881047592116
ENSG00000100104,ENSG00000100104,,,,,,,6853.0,0.4098699509086211,0.06892145348000392,,,,,,,,,,,,,1,0.4098699509086211,0.06892145348000392,2.478791404388625
ENSG00000196150,ENSG00000196150,,,,,,,6854.0,0.40978382568254246,0.06890816132823506,,,,,,,,,,,,,1,0.40978382568254246,0.06890816132823506,2.4786919870107775
ENSG00000119227,ENSG00000119227,,,,,,,6855.0,0.4096977004564637,0.06890640233952897,,,,,,,,,,,,,1,0.4096977004564637,0.06890640233952897,2.478604102795993
ENSG00000100416,ENSG00000100416,,,,,,,6856.0,0.40961157523038494,0.06887969109866193,,,,,,,,,,,,,1,0.40961157523038494,0.06887969109866193,2.478491266329047
ENSG00000198393,ENSG00000198393,,,,,,,6857.0,0.4095254500043063,0.06884336888857598,,,,,,,,,,,,,1,0.4095254500043063,0.06884336888857598,2.478368818892882
ENSG00000163617,ENSG00000163617,,,,,,,6858.0,0.40943932477822753,0.06882432828917995,,,,,,,,,,,,,1,0.40943932477822753,0.06882432828917995,2.4782636530674074
